date_solar,Air Temperature,Wind Speed at 3m,DHI,DHI Uncertainty,DNI,DNI Uncertainty,GHI,GHI Uncertainty,Relative Humidity,Relative Humidity Uncertainty,Barometric Pressure,Barometric Pressure Uncertainty,power_out_kwh,pred_power_out_kwh
2016-07-01,21.7,2.9,1725,687.6,5803.6,1776.5,5541.5,1339.3,52.4,3,1009.5,5.1,396.206,397.8867
2016-08-01,26.2,3.169961558,1221.8,99.4,7260.9,488,5634,350.8,66.3,3,1007.3,5,394.752,394.89597
2017-03-01,33.1,3.6,2448.3,94.5,5818.5,246.1,6409.2,198.7,14.9,3,934.2,4.7,372.885,372.7924
2013-09-01,9.7,3.8,1505.1,394.1,4813.8,1264.9,3830,836.6,42.5,3,940.8,4.7,519.058,520.47107
2014-02-01,26.4,4.3,3027.5,115.3,5393.7,225.1,7010.7,212,50.5,3,1009.8,5.1,408.008,408.82047
2014-09-01,30.6,4.3,2743.9,119.7,6727.3,282,7824.3,297.8,54.5,3,1004.6,5,376.994,377.20236
2018-07-01,22.4,3.6,1513.8,61.3,5315.3,189.4,4234.1,113.8,42.2,3,1015.9,5.1,463.44,463.4078
2015-03-01,32,3.9,2398.2,96.3,6935.9,243.8,7612.5,225.9,61.7,3,1002.3,5,360.112,360.73294
2016-08-01,32.2,4,2659.5,99.9,5699.9,201.8,7001.8,236,60.9,3,1002.9,5,378.524,379.61093
2013-10-01,24.5,3.699727489,2165.1,686,4735.4,1459.7,5382.1,1205.1,61.5,3,1009.5,5.1,430.549,431.6358
2013-12-01,31.1,2.4,2596.4,232,4684.5,445.1,6109.1,485.6,75.1,3,1002.6,5,306.845,307.5886
2014-10-01,24.9,2.4,1889.1,167.3,5479.1,478.8,5343,341.4,58.2,3,1009.4,5.1,356.397,357.1653
2015-03-01,30.5,2.5,2524.5,204.6,4925.4,388.1,6172.1,378,78.4,3,1003.7,5,315.961,317.08063
2015-08-01,26,2.5,2543.2,194.7,4710.5,431.9,5911.7,401.7,74.8,3,1008.5,5.1,339.877,340.8757
2015-12-01,32.2,2.7,2797.2,194.9,4703.5,369.6,6498.6,403.1,85,3,1001.8,5,316.498,317.90176
2014-03-01,31.5,2.5,2046.7,237.6,4904.5,604,5358,564.9,62.6,3,1002.3,5,343.603,344.13773
2016-07-01,26.2,3.1,1660.2,127.6,4547.5,408.2,4183.4,299.7,56.1,3,1007.5,5.1,435.176,436.43393
2016-08-01,31.1,3.6,1878.1,139.8,5648.5,382.9,5613.2,357.2,68.6,3,1003.4,5,400.033,400.65994
2013-07-01,28.3,4,2656.1,202.8,4414.3,369.4,5788.9,383.9,64.9,3,1004,5,419.373,420.36307
2014-07-01,36,3.4,3318.6,241,3909.4,338.4,6455.7,413.3,61,3,996.6,5,352.628,353.4711
