date_consumption,general_power_supply,pred_general_power_supply
7/1/2013,245372.955,272247.4375
7/2/2013,238604.766,259989.25
7/3/2013,241179.158,249576.4375
7/4/2013,223239.447,250284.0938
7/5/2013,215153.695,238230.5
7/6/2013,252483.463,225685
7/7/2013,264629.593,249382.0781
7/8/2013,265126.644,244455.9688
7/9/2013,283258.495,250031.9063
7/10/2013,272570.524,264878.4688
7/11/2013,253471.683,263492.2813
7/12/2013,253278.485,255567.8906
7/13/2013,257225.052,253222.0469
7/14/2013,255339.434,258849.5781
7/15/2013,240338.911,258433.3438
7/16/2013,216915.857,253709.5625
7/17/2013,198164.464,225141
7/18/2013,196145.952,205339.5469
7/19/2013,208112.841,200215.3438
7/20/2013,215968.622,229739.5313
7/21/2013,259299.303,230620.4531
7/22/2013,265653.534,274477.375
7/23/2013,264197.929,259371.4531
7/24/2013,258441.835,260418.6875
7/25/2013,245582.894,257336
7/26/2013,247084.604,230049.7344
7/27/2013,247450.637,238958.1094
7/28/2013,258711.4,242894.5938
7/29/2013,219691.581,261637.5938
7/30/2013,216617.805,215406.6875
7/31/2013,219986.918,224753.0469
8/1/2013,225228.007,209027.5781
8/2/2013,227680.27,219555.4531
8/3/2013,227020.428,240924.6563
8/4/2013,238007.562,228556.5469
8/5/2013,229034.251,241959.0781
8/6/2013,207768.609,215604.625
8/7/2013,210176.156,220323
8/8/2013,261295.588,229158.4063
8/9/2013,233569.353,277048.5625
8/10/2013,207610.537,245120.7813
8/11/2013,212792.594,233609.5469
8/12/2013,202557.448,235169.0781
8/13/2013,204447.704,208631.8125
8/14/2013,197015.723,220157.1719
8/15/2013,206101.971,242053.1563
8/16/2013,211765.156,198526.3906
8/17/2013,197422.17,213869.4688
8/18/2013,200256.514,215373.4688
8/19/2013,200131.376,207476.2344
8/20/2013,231684.015,209349.8438
8/21/2013,244115.203,218165.5938
8/22/2013,238835.344,227859.8906
8/23/2013,225909.87,241864.7656
8/24/2013,199248.659,220146.1406
8/25/2013,198636.995,209882.4375
8/26/2013,192111.124,221594.1875
8/27/2013,184892.754,213660.1719
8/28/2013,180695.674,194317.9531
