date_wind,wind_speed,wind_dir_cos,wind_dir_sin,air_den,y_true,y_pred
92,0.057395143,-0.283633279,-0.958932825,1.174,3240.411,3238.1143
93,0.022075055,-0.991198822,-0.132381629,1.224,192.216,0
94,0.057395143,0.984381951,-0.176045946,1.16,3201.643,3185.8784
95,0.090507726,-0.36729133,-0.93010595,1.178,12747.332,12750.601
96,0.046357616,0.240988305,-0.97052802,1.147,1667.609,1682.3174
97,0.101545254,0.75966831,0.65031074,1.163,17780.967,17714.316
98,0.033112583,-0.975629313,0.219425258,1.17,620.29,637.83765
99,0.022075055,-0.283691091,0.958915723,1.132,177.827,0
100,0.033112583,0.862318872,-0.506365641,1.144,606.153,613.8907
101,0.046357616,0.903705112,-0.428155428,1.175,1708.74,1718.4982
102,0.046357616,0.633319203,0.773890682,1.198,1742.788,1750.4283
103,0.046357616,0.633319203,0.773890682,1.21,1759.382,1767.6455
104,0.112582781,-0.022096619,-0.99975584,1.132,23583.68,23727.549
105,0.046357616,-0.283633279,-0.958932825,1.134,1649.099,1665.9899
106,0.112582781,0.75966831,0.65031074,1.147,23893.232,23847.414
107,0.136865342,0.903705112,-0.428155428,1.163,43519.162,43850.855
108,0.033112583,-0.283633279,-0.958932825,1.178,624.183,640.99133
109,0.169977925,0.814180971,0.580611184,1.189,85278.245,85787.43
110,0.046357616,0.984381951,-0.176045946,1.154,1677.708,1687.5289
111,0.134657837,0.562428927,0.826845634,1.109,39522.559,39633.71
112,0.046357616,0.240988305,-0.97052802,1.245,1810.661,1822.9257
113,0.057395143,-0.36729133,-0.93010595,1.252,3454.798,3451.509
114,0.033112583,-0.991198822,-0.132381629,1.191,631.037,650.8845
115,0.090507726,-0.999020813,-0.044242678,1.219,13197.059,13228.183
116,0.068432671,-0.283691091,0.958915723,1.14,5335.151,5344.736
117,0,-0.445154962,0.89545355,1.198,0,0
118,0.033112583,0.633319203,0.773890682,1.273,674.641,688.409
119,0.101545254,-0.197813574,0.980239659,1.207,18445.945,18402.172
120,0,-0.445154962,0.89545355,1.192,0,0
121,0.046357616,0.75966831,0.65031074,1.154,1678.627,1686.9672
122,0.022075055,0.862318872,-0.506365641,1.252,196.678,0
123,0,-0.445154962,0.89545355,1.237,0,0
124,0.090507726,-0.283691091,0.958915723,1.206,13057.877,13048.166
125,0.033112583,-0.991198822,-0.132381629,1.126,596.67,615.1277
126,0.068432671,-0.991198822,-0.132381629,1.182,5529.743,5531.443
127,0.022075055,-0.883877473,0.467718518,1.215,190.788,0
128,0.04415011,-0.525347639,0.850887689,1.241,1559.184,1616.0577
129,0,-0.445154962,0.89545355,1.245,0,0
130,0,-0.445154962,0.89545355,1.283,0,0
131,0.057395143,-0.730194157,0.683239704,1.19,3284.326,3308.3994
132,0,-0.445154962,0.89545355,1.245,0,0
133,0.112582781,0.996085171,0.088398712,1.21,25208.298,25202.426
134,0.033112583,0.75966831,0.65031074,1.176,623.35,631.58386
135,0.057395143,-0.448073616,0.893996664,1.24,3421.953,3441.242
136,0.046357616,-0.197813574,0.980239659,1.245,1811.347,1821.9683
137,0.046357616,0.325781306,0.945445155,1.197,1740.639,1750.0438
138,0,-0.445154962,0.89545355,1.207,0,0
